,Recipe_id,Total_Grams,Num_comensales,Categoria
135,7398,1498.0,2.0,Recetas de Salsas
136,7403,1873.0,4.0,Recetas de Aperitivos y tapas
137,7405,952.0,2.0,Recetas de Salsas
138,7408,335.0,4.0,Recetas de Pescado
139,7412,1879.5,2.0,Recetas de Pescado
140,7417,3106.0,8.0,Recetas de Pescado
141,7418,709.0,4.0,Recetas de Verduras
142,7422,1220.0,8.0,Recetas de Legumbres
143,7424,703.0,4.0,Recetas de Salsas
144,7428,548.0,6.0,Recetas de Salsas
145,7430,228.0,4.0,Recetas de Salsas
146,7431,922.0,1.0,Recetas de Salsas
147,7432,575.0,2.0,Recetas de Salsas
148,7433,932.0,4.0,Recetas de Salsas
149,7436,236.0,2.0,Recetas de Salsas
150,7456,916.0,4.0,Recetas de Salsas
151,7477,1258.0,4.0,Recetas de Guisos y Potajes
152,7497,550.0,2.0,Recetas de Aperitivos y tapas
153,7499,551.0,2.0,Recetas de Mariscos
154,7502,1546.5,3.0,Recetas de Mariscos
155,7504,1979.0,2.0,Recetas de Verduras
156,7510,710.0,4.0,Recetas de Sopas y cremas
157,7512,775.0,4.0,Recetas de Aperitivos y tapas
158,7517,1202.0,1.0,Recetas de Aperitivos y tapas
159,7527,2827.0,1.0,Recetas de Pescado
160,7528,1709.5,6.0,Recetas de Pescado
161,7529,777.0,3.0,Recetas de Pescado
162,7532,1866.0,6.0,Recetas de Mariscos
163,7536,473.5,2.0,Recetas de Salsas
164,7550,880.0,2.0,Recetas de Carne
165,7573,1363.0,1.0,Recetas de Carne
166,7590,2078.5,2.0,Recetas de Carne
167,7614,2133.0,2.0,Recetas de Mariscos
168,7623,1352.0,2.0,Recetas de Aves y caza
169,7630,2238.0,1.0,Recetas de Pescado
170,7638,953.0,4.0,Recetas de Pescado
171,7641,1639.0,3.0,Recetas de Pescado
172,7643,330.5,2.0,Recetas de Pescado
173,7645,1727.0,4.0,Recetas de Mariscos
174,7647,1350.0,4.0,Recetas de Carne
175,7687,899.0,4.0,Recetas de Huevos y lácteos
176,7694,1106.0,4.0,Recetas de Huevos y lácteos
177,7696,1579.0,2.0,Recetas de Huevos y lácteos
178,7705,1272.0,2.0,Recetas de Aves y caza
179,7711,1168.0,2.0,Recetas de Huevos y lácteos
180,7717,511.0,2.0,Recetas de Huevos y lácteos
181,7721,982.0,2.0,Recetas de Huevos y lácteos
182,7727,840.0,4.0,Recetas de Mariscos
183,7733,1294.0,2.0,Recetas de Pescado
184,7735,912.0,2.0,Recetas de Aperitivos y tapas
185,7744,372.5,4.0,Recetas de Aperitivos y tapas
186,7752,3300.0,4.0,Recetas de Aperitivos y tapas
187,7755,1055.5,2.0,Recetas de Huevos y lácteos
188,7758,964.0,2.0,Recetas de Huevos y lácteos
189,7783,1163.0,2.0,Recetas de Huevos y lácteos
190,7785,4542.0,4.0,Recetas de Huevos y lácteos
191,7789,1382.0,4.0,Recetas de Verduras
192,7795,1697.0,2.0,Recetas de Verduras
193,7798,1185.0,4.0,Recetas de Verduras
194,7808,960.0,1.0,Recetas de Aperitivos y tapas
195,7814,1127.0,5.0,Recetas de Verduras
196,7820,1242.5,1.0,Recetas de Verduras
197,7834,1507.0,1.0,Recetas de Sopas y cremas
198,7835,698.0,2.0,Recetas de Pasta
199,7851,3088.5,1.0,Recetas de Mariscos
200,7865,1972.0,4.0,Recetas de Verduras
201,7868,1423.0,4.0,Recetas de Aves y caza
202,7883,359.0,3.0,Recetas de Mariscos
203,7886,902.0,4.0,Recetas de Carne
204,7892,442.0,2.0,Recetas de Huevos y lácteos
205,7904,735.0,,Recetas de Carne
206,7918,734.0,,Recetas de Legumbres
207,7920,1665.0,,Recetas de Verduras
208,7932,1167.0,,Recetas de Verduras
209,7957,1956.0,,Recetas de Aperitivos y tapas
210,7959,1561.0,,Recetas de Legumbres
211,7960,1250.5,,Recetas de Legumbres
212,7983,1517.0,,Recetas de Mariscos
213,7987,908.0,,Recetas de Legumbres
214,7988,2001.0,,Recetas de Pescado
215,7990,1484.5,,Recetas de Guisos y Potajes
216,7992,1034.0,,Recetas de Guisos y Potajes
217,8012,1419.0,3.0,Cócteles y bebidas
218,8014,904.0,,Cócteles y bebidas
219,8020,379.0,2.0,Recetas de Aperitivos y tapas
220,8023,827.0,,Recetas de Aperitivos y tapas
221,8024,350.0,,Recetas de Huevos y lácteos
222,8032,350.0,,Recetas de Verduras
223,8034,511.0,,Recetas de Postres
224,8056,550.0,2.0,Recetas de Postres
225,8078,1221.0,,Recetas de Legumbres
226,8099,3302.0,,Recetas de Verduras
227,8105,1080.0,,Cócteles y bebidas
228,8113,92.0,,Cócteles y bebidas
229,8117,745.0,,Recetas de Aperitivos y tapas
230,8118,485.0,,Recetas de Aperitivos y tapas
231,8135,346.0,,Recetas de Huevos y lácteos
232,8145,2319.0,,Recetas de Verduras
233,8162,1054.0,4.0,Recetas de Legumbres
234,8167,509.0,,Recetas de Salsas
235,8168,656.0,,Recetas de Salsas
