Recipe_id|Categoria|Nombre|Valoracion|Dificultad|Num_comensales|Tiempo|Tipo|Link_receta|Num_comentarios|Num_reviews|Fecha_modificacion|Ingredientes|parse_rate|total_ingredients|parsed_ingredients
7251|Recetas de Aperitivos y tapas|Receta de champiñones al ajillo|3.3|baja|2.0|15m|Entrante|https://www.recetasgratis.net/receta-de-champinones-al-ajillo-7251.html|1|3|2015-10-27|250 gramos de champiñón,3 unidades de ajo,80 mililitros de vino blanco,1 cucharada postre de perejil,1 cucharada sopera de mantequilla,1 pizca de sal,1 pizca de pimienta|1.0|7.0|7.0
56102|Recetas de Arroces y cereales|Receta de arroz basmati|4.0|baja|2.0|45m|Entrante|https://www.recetasgratis.net/receta-de-arroz-basmati-56102.html|1|4|2017-06-20|1 taza de arroz basmati,2 tazas de agua (480 mililitros),1 rama de canela,3 hojas de laurel,1 chorro de aceite,1 pizca de sal|1.0|6.0|6.0
61182|Recetas de Aves y caza|Receta de pollo guisado con champiñones||baja|3.0|45m|Plato principal|https://www.recetasgratis.net/receta-de-pollo-guisado-con-champinones-61182.html|0|0|2017-06-16|1 pollo troceado,250 gramos de champiñón frescos,2 dientes de ajo,romero seco picado,tomillo seco picado,50 mililitros de vino blanco,100 mililitros de caldo de pollo o verduras,3 cucharadas soperas de aceite de oliva virgen,1 pizca de sal y pimienta|1.0|9.0|9.0
58075|Recetas de Aves y caza|Receta de pollo cocido con tomate||baja|4.0|45m|Plato principal|https://www.recetasgratis.net/receta-de-pollo-cocido-con-tomate-58075.html|0|0|2016-02-22|500 gramos de pechuga de pollo,300 gramos de tomate,1 pizca de sal,1 pizca de pimienta negra molida,150 mililitros de cerveza,1 pizca de azúcar|1.0|6.0|6.0
55714|Cócteles y bebidas|Batido de plátano y galletas|5.0|baja|2.0|15m|Merienda|https://www.recetasgratis.net/receta-de-batido-de-platano-y-galletas-55714.html|6|5|2015-09-17|4 unidades de galletas digestive,1½ unidades de plátano,1½ vasos de leche desnatada|1.0|3.0|3.0
59340|Recetas de Ensaladas|Receta de ensalada de tomate, cebolla y atún||baja|4.0|10m|Entrante|https://www.recetasgratis.net/receta-de-ensalada-de-tomate-cebolla-y-atun-59340.html|0|0|2017-05-31|2 tomates para ensalada,2 cebollas dulces,2 latas de atún,1 lata de aceitunas rellenas,aceite,sal,vinagre|1.0|7.0|7.0
