indice,nombre,categoria,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),"fibra, dietetica total",carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
876,"Guindilla, en polvo",Otros,0.0,305,14.28,12.0,8.1,34.8,31.7,,3.211,8.006,2.462,,,,,,0.0,,,,,0.006135,0.0,1e-12,0.0,0.011300000000000001,0.00092,0.00033,0.0,8.999999999999999e-05,0.0,0.15,0.0341,2.01,0.15,0.03,0.29,2.4e-06,4e-06,0.002
877,Guindilla,Otros,0.0,45,1.1,1.87,88.8,1.5,6.7,,0.061,0.6,0.105,,,,,,0.0,,,,,9.533e-05,0.0,0.00069,2.3e-05,0.001677,8.599999999999999e-05,7.199999999999999e-05,0.0,0.000506,0.1437,0.014,0.00103,0.322,0.023,0.009,0.043,2.4e-06,5e-07,0.00026000000000000003
878,Gusanito,Otros,0.0,478,26.2,9.139,8.3,5.5,50.9,,11.5,2.99,11.7,,,,,,0.0,,,,,0.0,0.0,0.0014,1e-05,0.0037400000000000003,4e-05,1e-05,0.0,0.000116,0.0,0.147,0.0007,0.124,0.05,1.79,0.113,2.6e-06,5.7999999999999995e-06,0.00085
879,Hinojo,Otros,0.0,14,1e-12,1.1,93.3,3.3,2.3,,1e-12,1e-12,1e-12,,,,,,0.0,,,,,3.2e-05,0.0,0.0009,5.5e-05,0.00068,2e-05,8e-05,0.0,5.9999999999999995e-05,0.008,0.037,0.0005,0.473,0.012,0.015,0.038,,,0.0005
880,Hojaldre,Otros,0.0,552,38.5,7.4,8.4,1.5,44.2,,8.28,22.22,5.5,0.055,0.226,8.657,1.764,5.045,0.001,3.046,0.014,,,0.0,1e-06,0.00237,4.7e-05,0.005216999999999999,0.00025,0.00032,0.0,1.9e-05,0.0,0.01,0.0026,0.062,0.016,0.253,0.06,1.7199999999999998e-05,2.45e-05,0.00054
881,Jengibre,Otros,0.0,52,0.7,1.7,88.1,1e-12,9.5,,,,,,,,,,,,,,,5.7999999999999995e-06,0.0,,,0.0008,2.9999999999999997e-05,2e-05,0.0,0.00016,0.004,0.017,0.0006,0.33,0.035,0.011,0.027,,,0.0004
882,Kebab,Otros,0.0,305,7.9,8.8,66.6,1.6,16.7,,3.1,0.7,2.9,,,,,,,,,,,2.11e-05,1e-12,0.0007,1.37e-05,0.0038,8.999999999999999e-05,5.9999999999999995e-05,5e-07,0.00019,0.0034,0.0261,0.0011,0.21059999999999998,0.0146,0.68,0.085,1.08e-05,6.5999999999999995e-06,0.0014
883,Ketchup,Otros,0.0,104,0.2,3.4,66.7,0.9,21.7,1e-12,0.05,0.13,0.04,1e-12,1e-12,0.088,0.03,0.039,0.0,0.114,0.029,1e-12,1e-12,0.0001,0.0,0.0015,1e-05,0.001,5.9999999999999995e-05,5.9999999999999995e-05,0.0,0.00016,0.015,0.019,0.0009,0.48,0.019,0.91,0.04,4.5e-05,6e-07,0.0001
884,Lasaña,Otros,0.0,138,7.9,6.3,73.7,0.8,10.3,,3.31,1.12,3.17,,,,,,0.021,,,,,0.000102,1.2e-07,0.00086,9e-06,0.00125,8.999999999999999e-05,5e-05,4.2e-07,8e-05,0.002,0.085,0.0007,0.159,0.013,0.181,0.093,2.85e-05,7.5e-06,0.0009
885,Laurel,Otros,0.0,304,8.4,7.6,5.4,26.3,48.6,,1.64,2.29,2.28,,,,,,0.0,,,,,0.000618,0.0,,0.0,0.0039,0.00041999999999999996,1e-05,0.0,0.00174,0.0,0.83,0.043,0.53,0.12,0.023,0.113,,2.8e-06,0.0037
