indice,nombre,categoria,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),"fibra, dietetica total",carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
0,Arroz con leche,Lácteos,0.0,92,1.3,3.3,78.9,0.1,16.4,,0.31,0.08,0.77,,,,,,0.009,,,,,1.8e-05,1.0000000000000001e-07,0.00015,5e-06,0.0008100000000000001,0.00013000000000000002,4e-05,2.4e-07,8.999999999999999e-05,0.0,0.109,0.0002,0.138,0.014,0.038,0.096,6.3e-06,1.8999999999999998e-06,0.0003
1,Batido de chocolate,Lácteos,0.0,83,3.6,2.7,83.1,0.8,9.8,,1.0,0.1,2.3,0.025,0.088,0.302,0.146,0.202,0.013,0.022,0.003,0.001,,3.617e-05,0.0,8.999999999999999e-05,5e-06,0.00075,8.999999999999999e-05,4e-05,3.6e-07,4e-05,0.001,0.111,0.0003,0.192,0.022,0.049,0.095,7.2000000000000005e-06,1.8999999999999998e-06,0.0004
2,Batido de fresa,Lácteos,0.0,66,1.0,2.8,84.2,0.8,11.2,,2.9,0.7,0.62,0.025,0.088,0.302,0.146,0.202,0.012,0.022,0.003,0.001,,2.2800000000000002e-05,1e-08,4e-05,1.72e-06,0.00074,0.00019,4e-05,2.0000000000000002e-07,4e-05,8.999999999999999e-05,0.11,8.999999999999999e-05,0.183,0.01131,0.095,0.09,7.2000000000000005e-06,2.3e-06,0.00039
3,Batido de soja,Lácteos,0.0,82,5.2,5.0,85.9,0.0,3.9,,1.0,2.6,0.6,,,,,,0.0,,,,,0.0,0.0,0.00074,1.9e-05,0.0001,2.9999999999999997e-05,7.000000000000001e-05,0.0,7.000000000000001e-05,0.00047,0.1,0.0004,0.12,0.015,0.032,0.047,0.0,1.3e-06,0.0002
4,Batido fermentado de soja,Lácteos,0.0,90,1.18,2.35,78.18,0.6,17.06,,1.0,2.6,0.0,,,0.4176,0.2088,0.7772,0.0,1.264,0.1305,,,0.0,0.0,0.0,1.9e-05,0.0001,2.9999999999999997e-05,7.000000000000001e-05,0.0,,0.0176,0.176,0.00064,0.12,0.015,0.015,0.047,0.0,1.3e-06,0.0002
5,"Batido de chocolate, bajo en calorías",Lácteos,0.0,48,1.9,3.1,90.4,0.0,4.6,,0.0,0.1,0.3,,,,,,0.0,,,,,7.03e-05,3e-07,0.0007,2.11e-05,0.0013,0.00017999999999999998,0.0001,3.6e-07,0.00015,0.004200000000000001,0.11,0.0011,0.1807,0.0246,0.0883,0.095,1.06e-05,3.7e-06,0.0009
6,"Batido de fresa bajo en calorías",Lácteos,0.0,112,0.34,3.8,72.9,1.6,22.9,,0.0,0.1,0.3,,,,,,0.0034,,,,,7.03e-05,3e-07,0.0007,2.11e-05,0.0013,0.00013000000000000002,0.0001,2.0000000000000002e-07,0.00015,0.004200000000000001,0.11159999999999999,0.0011,0.1807,0.0246,0.0883,0.0528,1.06e-05,3.7e-06,0.0009
7,Bebida de soja,Lácteos,0.0,53,1.84,3.2,87.9,1.3,5.76,,0.314,0.802,0.206,,,,,,0.0,,,,,2e-06,0.0,0.00074,1e-06,0.000883,0.00041999999999999996,0.00011999999999999999,0.0,6.2e-05,0.0,0.1,0.0008,0.191,0.028,0.003,0.047,0.0,1.3e-06,0.00039
8,Crema catalana,Lácteos,0.0,104,2.9,3.7,77.9,1e-12,15.48,,0.76,0.06,1.89,,,,,,0.01,,,,,6.3e-05,8.3e-07,0.0001,5e-06,0.001,0.00017999999999999998,4e-05,5e-07,5.9999999999999995e-05,0.001,0.13,0.0001,0.16,0.013,0.081,0.11,8.3e-06,2.7e-06,0.0004
9,Cremoso san millan,Lácteos,0.0,262,25.0,6.7,63.0,0.0,3.0,,6.6,0.7,14.3,,,,,,0.065,,,,,0.00020380000000000002,6.5e-07,0.00023999999999999998,3.5e-06,0.00011999999999999999,1e-12,5e-05,2.2e-07,8e-05,1e-12,0.095,0.0002,0.098,0.025,0.457,0.067,2.9e-05,6e-06,0.0021000000000000003
10,Cuajada,Lácteos,0.0,87,4.7,4.5,84.2,0.0,6.6,,1.3,0.2,2.9,,,,,,0.0066,,,,,4.2e-05,2.1e-07,0.00023,5e-06,0.001,0.00022,5e-05,3e-07,0.00011999999999999999,0.0,0.178,0.0001,0.218,0.016,0.064,0.129,9e-06,9e-06,0.0005
11,Flan de huevo,Lácteos,0.0,133,3.4,4.8,70.0,1e-12,20.4,,1.82,0.53,2.03,,,,,,0.147,,,,,9.5e-05,5.8e-07,0.00023,9e-06,0.00043,0.00017,5e-05,6e-07,0.0001,0.0,0.091,0.0007,0.122,0.013,0.063,0.107,3.3e-05,4.6e-06,0.0006
12,Helado de chocolate,Lácteos,0.0,228,11.0,3.8,55.7,1.2,28.2,,3.21,0.41,6.8,3.191,1.235,0.84,0.9,0.4,0.034,0.172,0.003,,,1.04e-05,2.0000000000000002e-07,0.0003,1.6e-05,0.00022600000000000002,0.000194,4.2000000000000004e-05,2.9e-07,5.5e-05,0.0007,0.109,0.00093,0.249,0.029,0.076,0.107,1e-12,2.5e-06,0.00058
13,Helado de fresa,Lácteos,0.0,200,8.4,3.2,60.0,0.9,27.6,,1e-12,1e-12,5.19,3.191,1.235,0.84,0.9,0.4,0.029,0.172,0.003,,,9.6e-05,1e-12,1e-12,1.2e-05,0.00017,0.000255,4.4999999999999996e-05,3e-07,5e-05,0.0077,0.12,0.00020999999999999998,0.188,0.014,0.06,0.1,1e-12,1.8999999999999998e-06,0.00034
14,Helado de nata,Lácteos,0.0,211,10.8,3.9,60.0,0.0,24.4,,2.8,0.3,7.3,3.191,1.235,0.84,0.9,0.4,0.03,0.172,0.003,,,0.00011229999999999999,1.0000000000000001e-07,0.0005,2e-06,0.001,0.00023,4e-05,5e-07,2e-05,0.0013,0.146,0.0001,0.19,0.014,0.044,0.12,1.5e-05,3.5e-06,0.0005
15,Kefir,Lácteos,0.0,64,3.5,3.3,88.4,0.0,4.8,,1.0,0.1,2.3,,,,,,0.014,,,,,3.06e-05,1.01e-07,9.2e-05,2.1e-05,8.7e-05,0.000203,4.4999999999999996e-05,1.8e-07,3.8e-05,0.0003,0.127,0.00013000000000000002,0.16,0.014,0.046,0.09,2.43e-05,1.3e-06,0.00044
16,"Leche condensada, entera, con azúcar",Lácteos,0.0,336,9.2455,8.5095,25.3015,0.0,53.65,,2.4153,0.231,6.0907,,,,,,0.03,,,,,9.75e-05,1.0000000000000001e-07,0.000185,8e-06,0.00022,0.000465,8.5e-05,5.05e-07,5.9999999999999995e-05,0.0015,0.289,0.0001625,0.37,0.02835,0.1245,0.2325,0.00016,3e-06,0.000536
17,Leche de almendra,Lácteos,0.0,353,5.5,14.5,97.05,6.0,60.0,,0.76,1.02,0.43,,,,,,0.0,,,,,0.00012,5e-06,8.999999999999999e-05,,7.5e-05,0.00015,0.006,,,,0.2,0.002,0.42,0.06,0.018,0.28,,,
18,Leche de cabra,Lácteos,0.0,65,3.7037,3.4,87.5,0.0,4.4,0.0014,0.9,0.1,2.5,0.206,0.518,1.378,0.6,1.14,0.011,0.131,0.022,0.012,0.0019,4e-05,6e-08,2.9999999999999997e-05,1e-06,0.0011,0.00015,4e-05,1.0000000000000001e-07,4e-05,0.002,0.12,0.0001,0.185,0.014,0.045,0.103,0.0,2e-06,0.0005
19,Leche de coco,Lácteos,0.0,209,21.3,2.0,73.9,1e-12,2.8,,1.4,0.3,18.3,,,,,,0.0,,,,,0.0,0.0,0.0007,1.4e-05,0.00064,2.9999999999999997e-05,2.9999999999999997e-05,0.0,2.9999999999999997e-05,0.001,0.018,0.0033,0.22,0.046,0.013,0.096,7e-07,6.2e-06,0.00067
20,Leche de oveja,Lácteos,0.0,100,6.3492,5.6,82.1,0.0,5.0,,1.6,0.3,4.1,0.259,0.673,1.523,0.59,1.02,0.011,0.13,0.068,,,4.58333e-05,1.8e-07,0.00011,5e-06,0.0017,0.00023,5e-05,5e-07,8e-05,0.004,0.183,0.0001,0.146,0.016,0.04,0.141,5e-06,1.7e-06,0.0005
21,"Leche de vaca, desnatada, condensada, con azúcar",Lácteos,0.0,287,0.201,10.0,29.8,0.0,60.0,,0.1,1e-12,0.1,,,,,,0.001,,,,,3.133e-05,8.5e-07,4e-05,1.6e-05,0.0026,0.00051,0.00011,9.000000000000001e-07,8.999999999999999e-05,0.005,0.33,0.00033,0.45,0.033,0.15,0.27,8.9e-05,3e-06,0.0012
22,"Leche de vaca, entera",Lácteos,0.0,65,3.8,3.06,88.4,0.0,4.7,,1.1,0.13,2.3,0.118,0.371,1.07,0.35,0.73,0.014,0.078,0.009,0.006,0.0016,4.6e-05,3e-08,0.0001,5.5e-06,0.00073,0.00019,4e-05,3e-07,4e-05,0.0014,0.124,8.999999999999999e-05,0.157,0.0116,0.048,0.092,9e-06,1.4e-06,0.00038
23,"Leche en polvo, semidesnatada",Lácteos,0.0,445,16.2963,29.8,3.5,0.0,43.9,,5.1,0.6,9.7,,,,,,0.06,,,,,0.000188333,1.0000000000000001e-07,0.0004,3e-05,0.001,0.0012,0.0004,2.8999999999999998e-06,0.0002,0.004,1.05,0.0003,1.28,0.105,0.51,0.93,2.7e-05,7.4e-06,0.0040999999999999995
24,"Leche fermentada, bifidobacterium, entera, natural",Lácteos,0.0,63,3.4,3.6,88.6,0.0,4.4,,0.9,0.1,2.2,0.061,0.187,0.489,0.146,0.296,0.003,0.009,0.006,,,3.35e-05,2.0000000000000002e-07,0.0003,5e-06,0.00041999999999999996,0.00017999999999999998,4e-05,3e-07,8.999999999999999e-05,0.001,0.141,0.0001,0.18,0.013,0.051,0.107,4e-06,1e-06,0.0004
25,Leche materna,Lácteos,0.0,69,4.03,1.15,87.8,0.0,7.0,,1.523,0.435,2.031,,,,,,0.016,,,,,6.95e-05,7e-08,0.00027800000000000004,8e-06,0.000517,3.8e-05,1.4999999999999999e-05,5.0000000000000004e-08,1.4e-05,0.0065,0.029,5.8e-05,0.047,0.0032,0.013,0.015,5.0999999999999995e-06,3.2999999999999997e-06,0.000134
26,Leche merengada,Lácteos,0.0,84,3.2,3.0,83.1,0.0,10.7,,7.6,0.8,22.1,,,,,,0.014,,,,,4.606e-05,3e-08,8.999999999999999e-05,7.7e-07,8.999999999999999e-05,0.00019,4e-05,2.0000000000000002e-07,4e-05,0.0001,0.11,0.00020999999999999998,0.0873,0.012,0.026199999999999998,0.1,1.1599999999999999e-05,1.7e-06,
27,Leche,Lácteos,0.0,34,0.2,3.3,91.9,0.0,4.6,,1e-12,1e-12,1e-12,,,,,,0.002,,,,,0.0,1e-08,1e-05,2.8999999999999998e-06,8.999999999999999e-05,0.00016,5e-05,2.2e-07,2e-05,0.001,0.112,0.0001,0.174,0.0105,0.045,0.088,1.6e-05,2.8e-06,0.0004
28,"Leche, semidesnatada, pasteurizada",Lácteos,0.0,46,1.6,3.2,89.6,0.0,4.6,,0.48,0.05,0.95,,,,,,0.005,,,,,2.05e-05,1e-08,8e-05,5e-06,0.0001,0.00017,5e-05,4.0000000000000003e-07,2.9999999999999997e-05,0.003,0.114,4e-05,0.166,0.01,0.046,0.085,8.599999999999999e-06,1.5e-06,0.0004
29,Mousse de chocolate,Lácteos,0.0,247,8.1,5.1,41.9,2.3,37.8,,2.59,0.25,4.79,,,,,,0.035,,,,,5.7e-05,1.5e-07,0.00019,4e-06,0.00023999999999999998,0.00016,2.9999999999999997e-05,2.0000000000000002e-07,0.0001,0.0,0.132,0.0005,0.201,0.019,0.063,0.101,4.5000000000000003e-07,6.1e-06,0.0003
30,"Mousse de queso fresco, con frutas",Lácteos,0.0,135,5.4,5.4,73.2,0.2,16.0,,1.036,0.124,2.311,,,,,,0.013,,,,,4.52e-05,1.4e-07,4e-05,1.1e-05,0.00015,0.00014199999999999998,3.3e-05,5.3e-07,6.8e-05,0.0014,0.053,0.00016,0.09,0.007,0.344,0.113,8e-06,7.7e-06,0.00033
31,"Mousse de queso fresco, desnatado, azucarado",Lácteos,0.0,106,2.8,8.5,77.3,0.0,11.4,,1e-12,1e-12,0.3,,,,,,0.0070999999999999995,,,,,1.59e-05,7e-08,1e-12,3.9e-06,0.0005,0.00015,2e-05,2.0000000000000002e-07,0.0627,0.0007,0.114,0.0001,0.127,0.011,0.044,0.117,9.699999999999999e-06,1.7e-06,0.0003
32,"Mousse de queso fresco, desnatado, con frutas",Lácteos,0.0,117,1.8,5.6,73.1,0.3,19.2,,0.282,0.039,0.619,,,,,,0.003,,,,,1.35e-05,5.0000000000000004e-08,1e-05,5.9e-06,0.0001,0.00011,1e-05,4.9e-07,0.0892,0.004,0.085,0.0002,0.11,0.011,0.03,0.06,9.699999999999999e-06,4.5e-06,0.0002
33,"Mousse de yogur, con frutas",Lácteos,0.0,145,6.7,3.3,72.3,,17.7,,,,,,,,,,,,,,,4.52e-05,1.4e-07,,,,0.00014000000000000001,,,,,,,,,,,,,
34,"Mousse de yogur, natural",Lácteos,0.0,166,9.4,4.4,70.4,,15.8,,,,,,,,,,,,,,,4.59e-05,2.3000000000000002e-07,,4.1e-06,,0.00016,,2.5e-07,8.999999999999999e-05,,0.127,0.0001,0.159,0.013,0.046,0.095,,,0.00035
35,Nata,Lácteos,0.0,202,19.9894,2.51,73.9,0.0,3.4,,5.7,0.49,12.7,,,,,,0.07,,,,,0.000196667,7e-07,0.0005,1e-12,7.000000000000001e-05,0.0005,2.9999999999999997e-05,2.5e-07,2e-05,0.001,0.094,0.0002,0.13,0.009,0.045,0.065,2.8999999999999998e-06,1e-12,0.0002
36,Natillas sabor vainilla,Lácteos,0.0,104,2.9,3.7,77.9,1e-12,15.48,1e-12,0.76,0.06,1.89,0.1532,0.466,1.392,0.3144,0.9788,0.01,0.1184,0.0124,1e-12,1e-12,6.3e-05,3e-08,0.0001,5e-06,0.001,0.00017999999999999998,4e-05,5e-07,5.9999999999999995e-05,0.001,0.13,0.0001,0.16,0.013,0.081,0.11,8.3e-06,2.7e-06,0.0004
37,"Petit líquido, sabor fresa",Lácteos,0.0,79,1.0,2.8,81.6,0.1,14.5,,0.3,0.0,0.6,,,1.545,,,0.0025,,,,,9.9e-06,0.0,0.0,1.7e-06,0.0001,0.00017,2.9999999999999997e-05,1.7000000000000001e-07,2e-05,0.0002,0.102,0.0001,0.126,0.01,0.041,0.08,8e-06,4.0000000000000003e-07,0.0003
38,"Petit suïsse, cereales y fruta",Lácteos,0.0,166,7.8,7.2,68.4,0.07,16.5,,1.03,0.1,2.27,0.16,0.532,1.545,0.636,0.948,0.01,0.099,0.022,0.005,0.002,6.42e-05,1.8e-07,0.00011999999999999999,4e-06,0.0001,0.00014000000000000001,2.9999999999999997e-05,3e-07,5e-05,1e-12,0.096,0.0002,0.12,0.013,0.04,0.175,8e-06,4.0000000000000003e-07,0.0003
39,"Petit suisse, chocolate",Lácteos,0.0,175,6.4,4.3,64.6,0.0,24.7,,1.14,0.12,2.54,0.16,0.532,1.545,0.636,0.948,0.011,0.099,0.022,0.005,0.002,4.05e-05,3e-07,0.0001,3e-06,0.0002,0.00014000000000000001,4e-05,3e-07,0.00057,0.0,0.096,0.0002,0.117,0.015,0.038,0.077,8e-06,4.0000000000000003e-07,0.0003
40,"Petit suisse, fresa",Lácteos,0.0,128,3.5,7.0,72.7,0.1,16.7,,1.14,0.12,2.54,0.16,0.532,1.545,0.636,0.948,0.011,0.099,0.022,0.005,0.002,2.9199999999999998e-05,9e-08,0.0001,4.5e-06,0.0002,1e-12,4e-05,2.0000000000000002e-07,4e-05,0.0,0.12,0.0001,0.109,0.013,0.035,0.081,8e-06,4.0000000000000003e-07,0.0002
41,"Petit Suisse, natural azucarado",Lácteos,0.0,122,3.75,7.3333,72.4333,0.0,14.3667,,1.14,0.12,2.54,0.16,0.532,1.545,0.636,0.948,0.011300000000000001,0.099,0.022,0.005,0.002,3.1e-05,1.0000000000000001e-07,0.0001,3.35e-06,0.0002,0.00023,4e-05,2.95e-07,4.4999999999999996e-05,0.0,0.12,0.0001,0.157,0.0129,0.0555,0.1085,8e-06,4.0000000000000003e-07,0.0004
42,Preparado lácteo con omega 3,Lácteos,0.0,53,1.95,3.5,88.0,,5.2,0.026,1.4,0.27,0.23,,0.018,0.186,0.157,1.471,,0.203,,,0.019,0.00012,7.5e-07,0.0015,3e-05,,,,4.0000000000000003e-07,0.0003,,0.132,,,,,,,,
43,Queso afuega'l pitu,Lácteos,0.0,469,40.56,26.78,27.8,0.0,1e-12,,,,,,,,,,0.1,,,,,0.00023908000000000002,2.5e-07,0.0006,1.6e-05,0.0030499999999999998,0.0003,4e-05,1.55e-06,8.999999999999999e-05,0.0,0.13116999999999998,0.00015,0.14102,0.01228,0.58825,0.30019,,,0.00049
44,Queso ahumado de aliva,Lácteos,0.0,408,34.13,25.67,35.04,0.0,1e-12,,,,,,,,,,0.1,,,,,0.00023908000000000002,2.5e-07,0.0006,1.6e-05,0.0030499999999999998,0.0003,4e-05,1.55e-06,8.999999999999999e-05,0.0,0.7820199999999999,0.00033,0.12190000000000001,0.03293,0.30024,0.51019,,,0.0030499999999999998
45,Queso azul,Lácteos,0.0,351,29.8,21.13,43.65,0.0,1e-12,,8.24,0.768,17.55,,,,,,0.088,,,,,0.00029,2.3000000000000002e-07,0.0007700000000000001,4e-05,0.0035169999999999997,0.0005,4.2999999999999995e-05,5.9e-07,0.00017999999999999998,1e-12,0.526,0.00017999999999999998,0.128,0.039,0.787,0.362,9e-06,2e-06,0.0040999999999999995
46,Queso brie,Lácteos,0.0,343,30.7,17.2,50.5,1e-12,1e-12,,8.59,0.89,19.35,,,,,,0.08,,,,,0.00032,2.0000000000000002e-07,0.0005,,0.0058,0.0005,5.9999999999999995e-05,1.7e-06,0.0002,0.0,0.256,0.0006,0.119,0.027,0.593,0.303,4e-06,1.45e-05,0.002
47,"Queso cabra, curado",Lácteos,0.0,464,39.6,27.6,29.08,0.0,1e-12,,10.602,2.4,25.4,,,,,,0.1,,,,,0.000437,2.0000000000000002e-07,0.0009,5.3e-05,0.007233,0.0012,0.00014000000000000001,1.5e-06,0.0001,0.0,0.19,0.0011,0.114,0.026,0.79,0.796,2e-06,5.5e-06,0.0029
48,Queso cabrales,Lácteos,0.0,377,32.6,21.5,41.8,1e-12,1e-12,,10.1,1.2,19.38,,,,,,0.09,,,,,0.000388,2.5e-07,0.0006,2e-05,0.0063,0.0003,2.9999999999999997e-05,1.5e-06,0.0001,0.0,0.358,0.0005,0.095,0.016,1.067,0.379,2e-06,1.45e-05,0.0023
49,Queso Camembert 20-30% MG/ES,Lácteos,0.0,201,11.2381,24.7,59.7,0.0,1e-12,,3.3,0.32,7.0,,,,,,0.03,,,,,0.000266667,1.7000000000000001e-07,0.0003,6.6e-05,0.0012,0.00067,5e-05,1.1e-06,0.00028000000000000003,1e-12,0.315,0.0002,0.136,0.024,0.891,0.286,1.38e-05,8.5e-06,0.0014
50,Queso camembert 60% mg/es,Lácteos,0.0,350,33.0688,13.8,52.5,0.0,1e-12,,9.6,0.95,20.7,,,,,,0.1,,,,,0.0003125,4.0000000000000003e-07,0.0006,9.6e-05,0.00093,0.00043,5e-05,2.6e-06,0.0002,1e-12,0.295,0.00037,0.076,0.067,0.526,0.1905,1.38e-05,7e-06,0.001714
51,Queso cantabria,Lácteos,0.0,356,30.19,21.53,42.84,0.0,1e-12,,,,,,,,,,0.1,,,,,0.00023908000000000002,2.5e-07,0.0006,1.6e-05,0.0030499999999999998,0.0003,4e-05,1.55e-06,8.999999999999999e-05,0.0,0.78036,0.00034,0.09781000000000001,0.02892,0.55513,0.49297,,,0.0030600000000000002
52,Queso casín,Lácteos,0.0,368,30.81,23.06,40.35,0.0,1e-12,,,,,,,,,,0.1,,,,,0.00023908000000000002,2.5e-07,0.0006,1.6e-05,0.0030499999999999998,0.0003,4e-05,1.55e-06,8.999999999999999e-05,0.0,0.69155,0.00099,0.17590999999999998,0.029079999999999998,0.7589600000000001,0.49959,,,0.0033900000000000002
53,Queso Castellano,Lácteos,0.0,459,39.75,26.04,27.68,0.0,1e-12,,9.59,1.08,26.45,,,,,,0.1,,,,,0.00043666699999999996,2.5e-07,0.0006,2e-05,0.0001,0.0003,2.9999999999999997e-05,1.5e-06,0.0001,1e-12,0.83847,0.0006,0.10553,0.04557,0.79328,0.58563,,,0.0027
54,Queso cebreiro,Lácteos,0.0,258,22.25,14.86,59.36,0.0,1e-12,,,,,0.849,2.998,7.971,3.434,5.677,0.085,0.439,0.16,0.02,0.009,0.00023908000000000002,2.5e-07,0.0006,1.5e-05,0.0047,0.0002,2.9999999999999997e-05,8.000000000000001e-07,8e-05,0.001,0.09713,0.00011,0.11347,0.010230000000000001,0.42228,0.20263,2e-06,1.6000000000000001e-06,0.00047
55,Queso Cheddar,Lácteos,0.0,405,33.5979,26.0,36.0,0.0,0.1,,9.5,0.95,21.3,,,,,,0.11,,,,,0.000344167,2.6e-07,0.0008,2e-05,0.0060999999999999995,0.0005,4e-05,1.5e-06,8e-05,0.0,0.74,0.0004,0.1,0.028,0.7,0.47,3.9e-05,1.2e-05,0.0023
56,"Queso curado, genérico",Lácteos,0.0,450,34.0,35.77,27.0,0.0,0.51,,9.9,1.0,21.3,,,,,,0.07440000000000001,,,,,0.000234,9.000000000000001e-07,0.00061,2.18e-05,0.008199999999999999,0.00033,4e-05,1.5e-06,0.0002,0.0,0.848,0.00075,0.082,0.0335,0.62,0.47,4.1e-06,1.2e-05,0.0032
57,Queso de aracena,Lácteos,0.0,390,33.88,21.86,40.32,0.0,1e-12,,,,,,,,,,0.1,,,,,0.000437,5e-07,0.00031,5.3e-05,0.0036,0.0011899999999999999,0.00014000000000000001,2.0000000000000002e-07,8e-05,0.0,0.5985499999999999,0.00039,0.1034,0.031010000000000003,0.64544,0.42706,,,0.0024
58,Queso de arzúa,Lácteos,0.0,397,34.5,22.21,39.43,0.0,2.0,,8.46,1.01,17.98,0.849,2.998,7.971,3.434,5.677,0.09,0.439,0.16,0.02,0.009,0.00034,2.5e-07,0.0006,2e-05,0.0001,0.0003,2.9999999999999997e-05,1.5e-06,0.0001,1e-12,0.76385,0.00027,0.09246,0.027440000000000003,0.42022000000000004,0.47766000000000003,2e-06,1.6000000000000001e-06,0.00335
59,Queso de bola,Lácteos,1e-12,336,28.3,20.7,42.3,1e-12,1e-12,,7.92,0.91,17.3,,,,,,0.08,,,,,0.000238,1.8e-07,0.0008,2e-05,0.0063,0.0004,4e-05,1.5e-06,0.0001,0.0,0.746,0.0006,0.064,0.073,0.778,0.462,1.7e-06,1.45e-05,0.0026
60,Queso de cádiz,Lácteos,0.0,308,26.88,16.93,52.8,0.0,1e-12,,,,,,,,,,0.1,,,,,0.000437,5e-07,0.00031,5.3e-05,0.0036,0.0011899999999999999,0.00014000000000000001,2.0000000000000002e-07,8e-05,0.0,0.62346,0.00023999999999999998,0.09842000000000001,0.02928,0.36446,0.3965,,,0.0025
61,"Queso de Castilla-La Mancha, oveja y cabra",Lácteos,0.0,406,35.7672,21.77,39.68,0.0,1e-12,,8.59,1.09,24.12,,,,,,0.09,,,,,0.00038833300000000004,2.5e-07,0.0006,2e-05,0.0001,0.0003,2.9999999999999997e-05,1.5e-06,0.0001,1e-12,0.68233,0.00037,0.063,0.12966999999999998,0.49667,0.46232999999999996,3.4e-05,1.6000000000000001e-06,0.00207
62,"Queso de Castilla-La Mancha, oveja, vaca y cabra",Lácteos,0.0,413,35.7143,23.5,37.4,0.0,1e-12,,9.43,1.0,23.32,,,,,,0.09,,,,,0.00038833300000000004,2.5e-07,0.0006,2e-05,0.0001,0.0003,2.9999999999999997e-05,1.5e-06,0.0001,1e-12,0.689,0.000513,0.079,0.022,0.459,0.752,3.4e-05,1.6000000000000001e-06,0.002817
63,"Queso de castilla-león, oveja y vaca",Lácteos,0.0,410,35.7884,22.6,37.3,0.0,1e-12,,9.67,0.86,23.29,,,,,,0.09,,,,,0.00038833300000000004,2.5e-07,0.0006,2e-05,0.0001,0.0003,2.9999999999999997e-05,1.5e-06,0.0001,1e-12,0.734,0.000483,0.086,0.021,0.689,0.528,3.4e-05,1.6000000000000001e-06,0.00285
64,"Queso de murcia, al vino",Lácteos,0.0,440,38.88,23.17,32.63,0.0,1e-12,,,,,,,,,,0.1,,,,,0.000437,5e-07,0.00031,5.3e-05,0.0036,0.0011899999999999999,0.00014000000000000001,2.0000000000000002e-07,8e-05,0.0,0.8139400000000001,0.00035,0.10637,0.038549999999999994,0.53739,0.5277000000000001,,,0.00265
65,Queso de tenerife,Lácteos,0.0,342,29.69,19.3,47.26,0.0,1e-12,,,,,,,,,,0.1,,,,,0.000437,5e-07,0.00031,5.3e-05,0.0036,0.0011899999999999999,0.00014000000000000001,2.0000000000000002e-07,8e-05,0.0,0.65334,0.00023999999999999998,0.10015,0.04344,0.32459,0.45436,,,0.00226
66,Queso de tiétar,Lácteos,0.0,398,35.0,21.48,38.01,0.0,1e-12,,,,,,,,,,0.1,,,,,0.000437,5e-07,0.00031,5.3e-05,0.0036,0.0011899999999999999,0.00014000000000000001,2.0000000000000002e-07,8e-05,0.0,0.84262,0.00033,0.12151,0.04272,0.5248400000000001,0.52146,,,0.00273
67,Queso edam,Lácteos,0.0,336,28.3,20.7,42.3,1e-12,1e-12,,7.92,0.91,17.3,,,,,,0.08,,,,,0.000238,1.8e-07,0.0008,2e-05,0.0060999999999999995,0.0004,4e-05,1.5e-06,0.0001,0.0,0.746,0.0006,0.746,0.03,0.44,0.462,4.5e-05,2.05e-05,0.0026
68,Queso emmental,Lácteos,0.0,367,28.8,27.3,36.7,1e-12,1e-12,,8.9,1.0,17.3,0.989,3.577,9.288,3.426,7.908,0.11,0.489,0.276,,,0.000231,3e-07,0.00035,9e-06,0.0070999999999999995,0.00034,5e-05,2.2e-06,0.0001,0.0,1.029,0.0008,0.098,0.045,0.275,0.746,2e-06,1.1e-05,0.0023
69,Queso en porciones,Lácteos,0.0,310,25.5,18.0,54.0,0.0,2.5,,10.1,1.05,14.24,0.778,2.537,7.415,3.256,4.95,0.094,0.589,0.102,0.033,0.005,0.000299,2.8e-07,0.001,5e-06,0.004200000000000001,0.0003,2.9999999999999997e-05,3e-07,1e-05,0.0,0.276,0.0001,0.15,0.03,0.935,0.535,3.85e-05,1.45e-05,0.0005
70,Queso flor de guía,Lácteos,0.0,387,31.06,27.21,35.35,0.0,1e-12,,,,,,,,,,0.09,,,,,0.000388,2.5e-07,0.0006,2e-05,0.0001,0.0003,2.9999999999999997e-05,1.5e-06,0.0001,1e-12,0.8019400000000001,0.00034,0.11824,0.04489,0.61325,0.60093,,,0.0038399999999999997
71,Queso fresco,Lácteos,0.0,198,15.4,12.4,68.4,0.0,2.5,,4.28,0.74,9.46,,,,,,0.0145,,,,,0.000194,0.0,0.0005600000000000001,1.4e-05,0.0040999999999999995,0.00017,2e-05,6.6e-07,8e-05,0.0,0.338,0.0005,0.121,0.016,0.272,0.17,4.8e-06,1.45e-05,0.0013
