Recipe_id,alcohol,energia,grasa,proteina,agua,fibra,carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),Total_Grams
22230,0.0,1223.119994,86.861153,71.630169,739.706382,2.132,39.028,2.038372,30.125298,10.4988,32.987893,0.0,0.262898,3.957434,1.376573,13.562542,0.268218,2.096854,0.212048,0.171572,0.683725,0.000536,1.7e-05,0.006722,6.4e-05,0.033184,0.001885,0.000706,2.4e-05,0.001781,0.08443,0.708091,0.006752,2.140867,0.207147,5.520502,1.221961,0.000272,0.00013,0.004216,951.49542
22233,42.9,1905.882552,69.775198,133.297723,1509.304254,12.885378,107.741436,2.795981,47.887003,7.942378,9.978757,0.0,0.934421,8.906967,1.96873,47.81242,0.493268,4.854445,0.514571,0.361105,0.995617,0.000457,0.0,0.021098,0.000214,0.033845,0.001154,0.000996,7e-06,0.003208,0.09781,0.651277,0.020552,3.139107,0.351373,4.924882,2.179332,0.000285,0.000312,0.005771,1888.93244
22234,0.0,1880.867973,116.098762,105.668245,598.038051,8.465697,102.337094,2.795981,74.017155,14.451953,23.771109,0.0,0.93843,16.611086,3.386331,70.206284,0.326843,11.913136,0.784569,0.361105,0.995617,0.000323,0.0,0.018996,0.000175,0.030694,0.000997,0.000859,6e-06,0.002575,0.080766,0.493348,0.008835,2.000062,0.245198,4.440556,1.706702,0.000247,0.000242,0.004072,942.1357
22240,0.0,2478.778408,135.04267,217.950735,1084.52008,5.091946,95.018192,0.0,81.90568,22.142805,26.283851,0.0,0.009875,13.825423,2.715708,68.297589,1.1475,11.139341,0.681396,0.0,0.0,0.000252,3e-06,0.018041,0.000251,0.049413,0.002069,0.001245,1.4e-05,0.002261,0.048737,0.372165,0.014243,3.413658,0.286814,5.83519,2.566329,0.000147,0.000461,0.008032,1547.55621
22244,15.574776,1447.349814,76.188705,55.050848,544.761944,17.481828,106.858956,0.252,49.24721,10.242467,13.287186,0.0,0.011866,6.588053,1.574107,47.229475,0.1066,6.6614,0.412648,0.01,0.074,0.000392,2e-06,0.01528,0.000175,0.016233,0.000691,0.000635,2e-06,0.001648,0.186778,0.197509,0.014746,2.240662,0.230315,4.338824,0.740519,0.000129,8.4e-05,0.003585,830.37302
22256,0.0,2385.238374,162.260831,159.107601,1011.188641,14.572878,73.0669,5.408,84.881967,31.312171,38.647283,0.0,1.153875,18.244097,4.288254,71.420463,0.8,12.0332,0.89305,0.368,2.032,0.001167,6.4e-05,0.030622,0.000264,0.058352,0.003324,0.001379,6.8e-05,0.008258,0.149127,0.695169,0.020307,1.654996,0.360243,5.076124,4.022637,0.0002,0.000273,0.006107,1427.06818
22360,0.0,1329.27609,64.936259,60.812208,243.779113,11.32018,125.908254,0.0,46.541195,7.115911,9.531387,0.0,0.005866,6.111178,1.294357,45.889475,0.417329,4.0349,0.411023,0.0,0.0,0.001754,4.1e-05,0.019106,8.6e-05,0.01279,0.000514,0.000325,4e-06,0.000789,0.08664,1.18065,0.323902,3.893145,0.265757,4.690586,0.932968,0.000263,5.7e-05,0.004208,512.76703
22396,0.0,552.0,0.6,16.6,570.51065,8.6,117.1,0.0,0.0,0.33,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048,7.2e-05,0.00405,0.00017,0.0004,0.0,0.0011,0.057,0.064786,0.0033,1.71,0.086314,0.051157,0.258,1.8e-05,1.2e-05,0.0015,715.71065
22397,0.0,2563.2,93.63,66.25,165.12,17.5,357.5,0.0,39.561,10.102,36.51,0.0,0.0,0.0,0.0,0.0,0.5749,0.0,0.0,0.0,0.0,0.000247,2e-06,0.004223,0.000185,0.00794,0.000861,0.000617,3e-06,0.001156,0.0,0.157631,0.008569,0.8448,0.143714,3.856887,0.863153,0.000133,4.9e-05,0.00469,719.4185
22457,0.0,2072.79,85.456,58.141,983.769,23.706,263.3003,0.0,26.9845,23.3605,29.913,0.0,0.0,0.0,0.0,0.0,0.30525,0.0,0.0,0.0,0.0,0.001152,5e-06,0.011212,0.000246,0.015536,0.000958,0.001257,3e-06,0.003441,0.19036,0.631661,0.010554,5.629,0.293174,4.79317,1.042663,0.000151,3.4e-05,0.005999,1431.4185
22465,0.0,2438.055177,156.174431,75.240435,690.826876,14.627011,181.888361,0.0,87.578313,16.396202,46.224802,0.0,0.009875,13.825423,2.715708,68.297589,0.827105,11.139341,0.681396,0.0,0.0,0.000745,3e-06,0.015261,0.000243,0.01445,0.001508,0.000925,7e-06,0.002356,0.113756,1.331535,0.009607,3.697157,0.205221,1.151582,1.437814,6.8e-05,3.9e-05,0.007803,1135.15473
22512,0.0,5031.687906,367.157006,338.374092,3418.422328,38.575362,96.871402,0.18,168.414239,36.045532,138.666598,0.25,3.9351,45.972,24.0425,89.2296,1.860904,19.6248,1.2779,0.45,0.02,0.007693,1e-05,0.021916,0.000923,0.114876,0.00612,0.002585,2.1e-05,0.007165,0.66558,2.049869,0.074498,11.60814,1.21373,12.991466,3.390437,0.00022,0.000332,0.04961,4286.08291
22539,0.0,1548.24,91.8495,170.1249,779.8046,2.678,10.0242,0.05503,31.450214,20.481129,24.880803,0.063,0.69575,17.42943,4.59916,28.92216,1.472095,13.80832,2.11499,0.30338,0.0484,0.000666,5e-06,0.007705,0.000196,0.091873,0.00217,0.000842,1.1e-05,0.003985,0.02549,0.260768,0.011341,2.44999,0.188726,3.26575,1.701425,0.000107,0.000105,0.020045,1062.0
