Id|Categoria|Nombre|Valoracion|Dificultad|Num_comensales|Tiempo|Tipo|Link_receta|Num_comentarios|Num_reviews|Fecha_modificacion|Ingredientes|parse_rate|total_ingredients|parsed_ingredients
53094|Recetas de Pasta|Receta de macarrones gratinados con bechamel|5.0|||||https://www.recetasgratis.net/receta-de-macarrones-gratinados-con-bechamel-53094.html|1|5|2014-12-12|una caja de macarrones con salsa de queso,20 gr de mantequilla,30 gr de harina,un vaso de leche,sal,pimienta,queso parmesano rallado|1.0|7.0|7.0
51987|Recetas de Pasta|Receta de rosina y sus macarrones|4.0|media||||https://www.recetasgratis.net/receta-de-rosina-y-sus-macarrones-51987.html|2|4|2014-12-01|400g de macarrones el gallo,1 puerro,1 calabacín,1 pimiento verde,1 apio,250 g de tomate natural,200 g de chorizo,aceite de oliva y sal.,100 g de queso rallado|1.0|9.0|9.0
