,Recipe_id,alcohol,energia,grasa,proteina,agua,fibra,carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),Total_Grams,grasa_cals_pctg,proteina_cals_pctg,carbos_cals_pctg
6269,62229,0.0,2323.0,176.3,184.0,832.0,5.0,2.7,6.76,96.2,30.3,40.61,0.0,1.44,15.8,4.12,81.93,1.0,7.36,0.96,0.46,2.54,0.001347,8e-05,0.036039999999999996,0.00025,0.0655,0.00385,0.00143,8.499999999999999e-05,0.00969,0.19,0.63029,0.018702,1.0,0.3159,1.4215,4.814080000000001,0.000172,0.000301,0.0057,1201.0,68.0,31.5,0.5
6270,62255,0.0,2174.8902510000003,67.974358,95.589287,301.577937,8.91,289.362154,0.011890000000000001,25.289169,8.324483,27.366669,0.6282949999999999,2.273904,12.133988,4.439957,14.580612,0.273383,4.9658940000000005,1.899789,0.11555,0.0056,0.00035800000000000003,0.0,0.002796,0.000136,0.032129000000000005,0.0010869999999999999,0.0008460000000000001,4e-06,0.0016460000000000001,0.02455,1.01615,0.005688,2.0052689999999997,0.178175,2.029076,1.8436919999999999,4e-05,4.9e-05,0.00936,780.7948700000001,28.4,17.8,53.8
6271,62267,0.0,1754.62,148.5778,99.51865,462.26300000000003,2.137,7.141,0.41,66.6384,20.1977,47.6115,0.03,0.3817,26.243000000000002,13.244000000000002,47.263999999999996,0.64765,16.136,1.119,2.33,0.325,0.00023199999999999997,1e-06,0.004536,6.7e-05,0.040921,0.001434,0.0036090000000000002,1.2e-05,0.0019039999999999999,0.00795,0.398538,0.008504000000000001,2.17461,0.118146,4.489745,1.18945,2.8999999999999997e-05,7.900000000000001e-05,0.010933,724.0,75.8,22.6,1.6
6272,62268,0.0,4076.25,139.71,92.825,1045.515,18.5,606.0,0.0,42.211000000000006,8.856,76.972,0.0,0.0,0.0,0.0,0.0,1.2195,0.0,0.0,0.0,0.0,0.0015279999999999998,2.8999999999999997e-05,0.007279000000000001,0.000267,0.014112000000000001,0.002182,0.001016,7.000000000000001e-06,0.001697,0.02325,2.1072,0.666745,7.7855,0.205325,2.10725,2.1390000000000002,0.000154,7.3e-05,0.0081,1910.0,31.0,9.2,59.8
6273,62270,21.45,6151.867187,341.947329,708.360524,2859.4771969999997,4.886188,22.171001999999998,0.141399,112.78547900000001,83.929181,92.523721,0.31814699999999996,3.4998150000000003,86.743928,22.950569,140.558799,3.4996150000000004,68.714309,10.618893,1.520035,0.141399,0.0016600000000000002,4e-06,0.024945,0.0005070000000000001,0.41495299999999996,0.005843999999999999,0.003121,1.4000000000000001e-05,0.017968,0.176401,0.598659,0.031279,10.022755,0.720527,3.3471230000000003,5.968202,0.000264,0.00035800000000000003,0.036180000000000004,3959.6681399999998,51.3,47.2,1.5
6274,62288,0.0,697.446316,4.9543989999999996,48.316338,327.078809,26.371438,112.040102,0.0,1.07395,1.8471,0.73765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000301,0.0,0.0033200000000000005,0.000303,0.01086,0.001124,0.001449,0.0,0.001423,0.100007,0.248038,0.016703,1.964764,0.20437,0.366182,0.77359,2.8000000000000003e-05,2.8999999999999997e-05,0.008145,528.70376,6.5,28.2,65.3
6275,62292,0.0,2394.95618,175.345276,27.314891999999997,1184.12659,24.944979,177.759318,0.0,44.040335999999996,111.26208999999999,18.7403,0.0,0.156095,10.996027999999999,5.740829,48.666964,0.0,99.779416,2.775023,0.0,0.069376,0.0,0.0,0.099595,0.00018899999999999999,0.013144999999999999,0.000526,0.001144,0.0,0.003575,0.22015300000000002,0.222737,0.008587000000000001,5.966474,0.249669,3.824045,0.616649,0.00011899999999999999,2.1e-05,0.004229,1600.01384,65.8,4.6,29.6
6276,62299,0.0,2054.995834,111.1688,106.41249499999999,745.7999940000001,11.933997999999999,155.050964,0.09,49.1423,11.057,43.2,0.125,1.965,19.361,11.305,26.9671,0.54525,6.7833,0.46,0.225,0.01,0.000129,1e-06,0.00242,0.00019099999999999998,0.040525,0.00159,0.000811,7.000000000000001e-06,0.002945,0.080315,0.22508000000000003,0.018252,3.80148,0.201986,3.190706,1.02183,5.4000000000000005e-05,0.000138,0.018959,1133.19995,48.9,20.8,30.3
6277,62306,0.0,2060.41,51.145,44.3173,78.3254,26.2065,328.8744,0.0,29.0072,14.4542,5.591,0.0,0.03,2.98,1.08,27.3,0.0,11.06,0.05,0.0,0.0,9e-06,0.0,0.024128,9.2e-05,0.015286000000000001,0.000947,0.000558,0.0,0.0007099999999999999,0.026119999999999997,0.51671,0.023413,1.69524,0.507049,0.058685,1.406201,9e-06,1.4000000000000001e-05,0.011127,534.0,23.6,9.1,67.4
6278,62309,0.0,315.606316,18.542149,17.516113,478.64930899999996,7.2101880000000005,19.251002,0.0,5.857,1.1725,9.8442,0.0,0.0002,0.22825,0.0515,1.5925,0.0145,0.2275,0.01475,0.0,0.0,0.0009140000000000001,0.0,0.003766,0.00014099999999999998,0.0071129999999999995,0.000306,0.000226,1e-06,0.000683,0.187637,0.488098,0.005033,1.144449,0.06919199999999999,0.764512,0.30101999999999995,2.5e-05,1.9e-05,0.002327,544.70376,53.2,22.3,24.5
6279,62310,0.0,1293.46,22.8522,39.809,607.9169999999999,20.976999999999997,219.91099999999997,0.0,13.3324,4.6573,3.5965,0.0,0.0017,2.38,0.4675,11.7572,0.0,1.9176,0.1173,0.0,0.0,0.00010400000000000001,0.0,0.0058590000000000005,0.000285,0.005631000000000001,0.000343,0.0006259999999999999,0.0,0.001102,0.15306,0.16268,0.008320999999999999,1.45755,0.1666,3.0733099999999998,0.9628700000000001,6.7e-05,1.7e-05,0.0038280000000000002,925.0,16.5,12.8,70.7
6280,62318,0.0,1280.8413289999999,37.627466999999996,62.308836,968.480052,23.097362,169.224987,0.0,17.023095,5.260394,14.396385,0.032061,0.41559399999999996,7.220424,3.597,10.811805999999999,0.1012,3.7731760000000003,0.22428499999999998,0.050182,0.0,0.000155,0.0,0.00179,0.000169,0.022594,0.000722,0.001508,1e-06,0.003632,0.19774,0.291243,0.017089,5.794189,0.24316999999999997,2.024076,0.898279,5.6000000000000006e-05,4.6e-05,0.005606,1264.6995,26.8,19.7,53.5
6281,62338,0.0,929.39408,35.214109,37.396094,454.68296799999996,22.572029999999998,113.532642,0.0,9.448436000000001,1.916135,18.426779999999997,0.0,0.0002,0.20800000000000002,0.044000000000000004,1.564,0.11,0.136,0.013999999999999999,0.0,0.0,0.0005650000000000001,0.0,0.003172,0.000101,0.00896,0.0007379999999999999,0.000816,2e-06,0.0017010000000000003,0.09605,2.0234509999999997,0.070622,3.358399,0.273264,1.0990309999999999,0.851074,2.3e-05,1e-05,0.004236,670.36222,34.4,16.2,49.3
6282,62339,0.0,1261.24,40.073,63.75,1896.102,18.8,157.3,0.0,14.3225,6.9936,10.7162,0.0,0.0002,0.28,0.055,1.3832,1.25125,0.2256,0.0138,0.0,0.0,0.000618,6e-06,0.004898,0.00033,0.02425,0.0019579999999999997,0.001322,8e-06,0.00352,0.1969,0.35844000000000004,0.013447,5.8345,0.2611,1.004,1.1430799999999999,0.000106,5.2000000000000004e-05,0.0074849999999999995,2178.0,29.0,20.5,50.5
6283,62377,0.0,1624.6517210000002,71.506838,78.63736999999999,587.086299,65.581,163.898,0.018000000000000002,23.714501000000002,9.39455,33.666953,0.025,0.3932,4.1875,2.3280000000000003,6.8132,0.206492,1.7226,0.1073,0.045,0.002,0.0008529999999999999,0.0,0.012376,0.000499,0.01824,0.001449,0.001387,3e-06,0.0031940000000000002,0.13155,1.461547,0.056621000000000005,5.139835,0.6212340000000001,2.0311310000000002,1.5262280000000001,2.8000000000000003e-05,3.6e-05,0.01623,996.58335,39.9,19.5,40.6
6284,62383,0.0,2666.9896710000003,191.335548,232.460656,1021.0567300000001,2.3363,3.3840339999999998,0.0,119.453084,21.500645000000002,35.398038,0.0,0.0125,13.0,2.75,97.75,2.437,8.5,0.875,0.0,0.0,0.001323,9e-06,0.033993999999999996,0.000424,0.036351999999999995,0.003001,0.001182,2.4e-05,0.0032159999999999997,0.097236,0.517837,0.016288,3.308158,0.334084,2.707477,2.309945,0.001221,0.00033999999999999997,0.010149,1455.64455,64.6,34.9,0.5
6285,62409,0.0,2715.04,86.306,98.352,885.93,36.45,379.292,2.6268,39.2439,11.982999999999999,21.1549,0.0,0.3368,2.2408,1.2155,3.8905,0.2508,0.36700000000000005,0.1361,0.2211,0.8811,0.00040599999999999995,1.3000000000000001e-05,0.012054,0.000181,0.05055,0.001786,0.001175,2.9999999999999997e-05,0.003252,0.038341,0.43781000000000003,0.015812,5.10458,0.35258,0.89556,1.8892400000000003,0.00020099999999999998,0.000144,0.0050409999999999995,1505.0,28.9,14.6,56.5
6286,62410,0.0,2314.34,200.894729,123.269674,826.57845,24.151975,16.231954,2.6668,65.814167,55.592794,63.077420999999994,0.0,0.3668,8.5583,4.1405,17.1155,0.4708,37.442,1.6186,0.2211,0.9111,0.001119,1.4000000000000001e-05,0.013645,0.00022,0.049373,0.002139,0.001045,3.3e-05,0.0033079999999999997,0.047968000000000004,2.068653,0.014519999999999998,4.225401000000001,0.40026300000000004,2.104562,2.20483,0.00021400000000000002,0.000156,0.01045,1217.0,76.4,20.8,2.7
