Recipe_id|Categoria|Nombre|Valoracion|Dificultad|Num_comensales|Tiempo|Tipo|Link_receta|Num_comentarios|Num_reviews|Fecha_modificacion|Ingredientes|parse_rate|total_ingredients|parsed_ingredients
7251|Recetas de Aperitivos y tapas|Receta de champiñones al ajillo|3.3|baja|2.0|15m|Entrante|https://www.recetasgratis.net/receta-de-champinones-al-ajillo-7251.html|1|3|2015-10-27|250 gramos de champiñón,3 unidades de ajo,80 mililitros de vino blanco,1 cucharada postre de perejil,1 cucharada sopera de mantequilla,1 pizca de sal,1 pizca de pimienta|1.0|7.0|7.0
58075|Recetas de Aves y caza|Receta de pollo cocido con tomate||baja|4.0|45m|Plato principal|https://www.recetasgratis.net/receta-de-pollo-cocido-con-tomate-58075.html|0|0|2016-02-22|500 gramos de pechuga de pollo,300 gramos de tomate,1 pizca de sal,1 pizca de pimienta negra molida,150 mililitros de cerveza,1 pizca de azúcar|1.0|6.0|6.0
55714|Cócteles y bebidas|Batido de plátano y galletas|5.0|baja|2.0|15m|Merienda|https://www.recetasgratis.net/receta-de-batido-de-platano-y-galletas-55714.html|6|5|2015-09-17| 200 gramos de galletas digestive,1½ unidades de plátano,1½ vasos de leche desnatada|1.0|3.0|3.0
38885|Recetas de Aves y caza|Receta de pavo con garbanzos||||||https://www.recetasgratis.net/receta-de-pavo-con-garbanzos-38885.html|0|0||2 patatas o patatas,1 pizca de pimienta,100 gramos de arroz,1 kilo de pavo,300 gramos de garbanzo,1 cucharadita de sal,2 zanahorias,1 diente de de ajo,1 pizca de orégano,1 cucharada de consome de pollo|1.0|10.0|10.0
73689|Recetas de Carne|Receta de lacón con grelos|3.0|baja|4.0|1h 30m|Plato principal|https://www.recetasgratis.net/receta-de-lacon-con-grelos-73689.html|1|3|2019-11-08|1 kilogramo de lacón,450 gramos de grelos al natural,200 gramos de chorizos frescos,3 patatas,1 cucharada postre de sal,2 pellizcos de pimentón de la vera|1.0|6.0|6.0
