Recipe_id,alcohol,energia,grasa,proteina,agua,fibra,carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),Total_Grams
7251,1.716,64.445,2.592875,1.829219,87.31675,1.888,5.42725,0.0,0.682248,0.206005,1.509593,0.0,0.0,0.0,0.0,0.0,0.004505,0.0,0.0,0.0,0.0,3.8e-05,1e-06,0.000202,1.9e-05,0.00296,0.000273,8.9e-05,0.0,0.000106,0.008878,0.017205,0.001155,0.382525,0.015199,0.12275,0.093455,4e-06,6e-06,0.000232,101.0
38885,0.0,2652.61,106.0909,194.322125,1469.1313,25.226,209.0022,0.0004,34.2204,28.61815,29.4857,0.0009,0.0099,0.2448,0.0648,0.3932,0.7699,0.194,0.03,0.0043,0.0004,0.002713,0.0,0.006473,0.000346,0.013742,0.000493,0.001055,0.0,0.002093,0.09088,0.689324,0.025506,5.32901,0.431523,13.63457,4.00584,9.1e-05,2.3e-05,0.028788,2022.0
55714,0.0,1200.3,44.65,27.335,441.325,10.5,169.87,0.0,15.948,4.848,20.672,3.964,2.284,8.468,4.032,9.408,0.10784,2.856,0.134,0.0,0.0,2.2e-05,1e-06,0.003898,5.6e-05,0.005757,0.000904,0.00046,1e-06,0.000827,0.01593,0.6228,0.005195,1.412,0.144635,0.98975,0.61244,6.2e-05,2.2e-05,0.003316,695.0
58075,5.94,956.29,48.333,103.06,772.98,3.565,16.561,0.02,15.7401,12.1888,13.0548,0.045,0.495,12.321,3.27,19.774,0.495,10.066,1.503,0.215,0.02,0.000441,1e-06,0.00598,0.000157,0.061556,0.000972,0.000601,2e-06,0.002896,0.06971,0.12066,0.008356,2.10809,0.14424,0.86754,0.97831,5.9e-05,5.5e-05,0.005603,953.0
73689,0.0,3280.12,156.56,270.846,1570.3748,28.15,195.21,0.0,64.8139,22.86932,54.9478,0.046,0.596,9.958,5.082,13.528,0.7492,5.09,0.302,0.072,0.0,0.004715,5e-06,0.00642,0.000603,0.093688,0.003275,0.006143,8e-06,0.004843,0.294,0.6463,0.043842,6.6078,0.3934,15.77718,2.3413,0.000215,0.000232,0.034082,2262.0
